,,PROGRAMACIÓN ACADÉMICA,,,,,
,,,PRIMAVERA 2020,,,,SECRETARÍA ACADÉMICA
,ING. EN CS. DE LA COMPUTACIÓN-CUATRIMESTRAL,,,,,,
,,,,Di,,,
Materia,Clave,Secc,NRC,,Hora,Salon,Profesor
Sistemas Digitales,ICCM 254,OO2,29108,V,1700-1859,1CCO3/309,RUBIN - LINARES GUSTAVO TRINIDA
Proyectos I + D I,IDDM 002,101,29112,AJ,1300-1459,1CCO1/003,ROSALES - LOPEZ KARINA
,,,,,,,1
,,PROGRAMACIÓN ACADÉMICA,,,,,
,,,PRIMAVERA 2020,,,,SECRETARÍA ACADÉMICA
,ING. EN CS. DE LA COMPUTACIÓN-CUATRIMESTRAL,,,,,,
,,,,Di,,,
Materia,Clave,Secc,NRC,,Hora,Salon,Profesor
,,,,as,,,
Proyectos I + D I,IDDM 002,102,29114,M,1500-1659,1CCO4/202,ARCHUNDIA - SIERRA ETELVINA
Proyectos I + D I,IDDM 002,102,29114,V,1500-1659,1CCO4/305,ARCHUNDIA - SIERRA ETELVINA
Proyectos I + D I,IDDM 002,103,29115,A,1300-1459,1CCO5/203,SANCHEZ - ROMAN GUILLERMINA
Proyectos I + D I,IDDM 002,103,29115,J,1300-1459,1CCO5/203,SANCHEZ - ROMAN GUILLERMINA
Arquitectura de Computadoras,IDCC 200,OO1,29116,A,1300-1459,1CCO3/309,HERNANDEZ - AMECA JOSE LUIS
Arquitectura de Computadoras,IDCC 200,OO1,29116,J,1300-1459,1CCO4/403,HERNANDEZ - AMECA JOSE LUIS
Arquitectura de Computadoras,IDCC 200,OO1,29116,L,1400-1459,1CCO4/403,HERNANDEZ - AMECA JOSE LUIS
Arquitectura de Computadoras,IDCC 200,OO2,29117,A,1700-1859,1CCO4/403,MEJIA - PALAFOX JUAN
Arquitectura de Computadoras,IDCC 200,OO2,29117,J,1700-1859,1CCO3/309,MEJIA - PALAFOX JUAN
Arquitectura de Computadoras,IDCC 200,OO2,29117,L,1800-1859,1CCO4/403,MEJIA - PALAFOX JUAN
Microprocesadores e,,,,,,,
Interfaces,ICCM 255,OO1,29118,A,1700-1859,1CCO3/310,CHAVIRA - MARTINEZ ELSA
Microprocesadores e,,,,,,,
Interfaces,ICCM 255,OO1,29118,J,1700-1859,1CCO4/309,CHAVIRA - MARTINEZ ELSA
Microprocesadores e,,,,,,,
Interfaces,ICCM 255,OO1,29118,L,1800-1859,1CCO3/310,CHAVIRA - MARTINEZ ELSA
Microprocesadores e,,,,,,,
Interfaces,ICCM 255,OO2,29119,L,1700-1759,1CCO4/305,HERNANDEZ - AMECA JOSE LUIS
Microprocesadores e,,,,,,,
Interfaces,ICCM 255,OO2,29119,M,1700-1859,1CCO3/309,HERNANDEZ - AMECA JOSE LUIS
Microprocesadores e,,,,,,,
Interfaces,ICCM 255,OO2,29119,V,1700-1859,1CCO4/305,HERNANDEZ - AMECA JOSE LUIS
Sistemas Empotrados,IDCC 201,OO1,29128,A,0700-0859,1CCO4/402,MEJIA - PALAFOX JUAN
Sistemas Empotrados,IDCC 201,OO1,29128,J,0700-0859,1CCO3/309,MEJIA - PALAFOX JUAN
Sistemas Empotrados,IDCC 201,OO1,29128,L,0800-0859,1CCO4/402,MEJIA - PALAFOX JUAN
Sistemas Empotrados,IDCC 201,OO2,29136,L,1500-1559,1CCO4/402,OIDOR - GARCIA JOSE
Sistemas Empotrados,IDCC 201,OO2,29136,M,1500-1659,1CCO3/309,OIDOR - GARCIA JOSE
Sistemas Empotrados,IDCC 201,OO2,29136,V,1500-1659,1CCO4/402,OIDOR - GARCIA JOSE
Progra. Concurrente y Paralela,CCOM 252,OO1,29163,L,0900-0959,1CCO3/208,TOVAR - VIDAL MIREYA
Progra. Concurrente y Paralela,CCOM 252,OO1,29163,M,0900-1059,1CCO3/208,TOVAR - VIDAL MIREYA
Progra. Concurrente y Paralela,CCOM 252,OO1,29163,V,0900-1059,1CCO3/101,TOVAR - VIDAL MIREYA
Ingenieria de Software,IDCO 201,OO1,29165,L,1100-1159,1CCO3/208,ROSSAINZ - LOPEZ MARIO
